condition,metric,target,type,n,spearman_rho,spearman_p,abs_rho
no_cofactor,confidence_score,titer,individual,16,-0.03384842711805246,0.9009625881945321,0.03384842711805246
no_cofactor,mean_dist,titer,individual,16,-0.03384842711805246,0.9009625881945321,0.03384842711805246
no_cofactor,frac_entrance,titer,individual,16,0.014013108387380903,0.9589210521929865,0.014013108387380903
no_cofactor,composite(-entrance+complex_iplddt),titer (Ki-subset),composite,5,-0.7999999999999999,0.10408803866182788,0.7999999999999999
no_cofactor,composite(-entrance+iptm),titer (Ki-subset),composite,5,-0.49999999999999994,0.39100221895577053,0.49999999999999994
no_cofactor,composite(-entrance+ligand_iptm),titer (Ki-subset),composite,5,-0.49999999999999994,0.39100221895577053,0.49999999999999994
no_cofactor,composite(-entrance+median_dist),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_cofactor,composite(-entrance+mean_entrance_contacts),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_cofactor,composite(-entrance+complex_pde),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_cofactor,composite(-entrance+pair_iptm_A_protein__L_substrate),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_cofactor,composite(-entrance+pair_iptm_A_protein__S_substrate2),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_cofactor,composite(-entrance+pair_iptm_L_substrate__S_substrate2),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_cofactor,composite(-entrance+confidence_score),titer (Ki-subset),composite,5,-0.19999999999999998,0.747060078104662,0.19999999999999998
no_cofactor,composite(-entrance+mean_dist),titer (Ki-subset),composite,5,0.19999999999999998,0.747060078104662,0.19999999999999998
no_cofactor,composite(-entrance+ptm),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,composite(-entrance+complex_ipde),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,composite(-entrance+chain_ptm_A_protein),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,composite(-entrance+chain_ptm_L_substrate),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,composite(-entrance+chain_ptm_S_substrate2),titer (Ki-subset),composite,5,0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,composite(-entrance+pair_iptm_L_substrate__L_substrate),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,composite(-entrance+pair_iptm_S_substrate2__S_substrate2),titer (Ki-subset),composite,5,0.09999999999999999,0.8728885715695383,0.09999999999999999
no_cofactor,frac_entrance,titer (Ki-subset),individual,5,0.0,1.0,0.0
no_cofactor,composite(-entrance+complex_plddt),titer (Ki-subset),composite,5,0.0,1.0,0.0
no_cofactor,composite(-entrance+mean_contacts),titer (Ki-subset),composite,5,0.0,1.0,0.0
no_constraint,pair_iptm_A_protein__T_atp,titer,individual,16,0.5518765290986815,0.02666588870423162,0.5518765290986815
no_constraint,mean_entrance_contacts,titer,individual,16,0.5284145792505661,0.035360264951493414,0.5284145792505661
no_constraint,chain_ptm_A_protein,titer,individual,16,0.47534965039699756,0.06276326989114171,0.47534965039699756
no_constraint,pair_iptm_A_protein__L_substrate,titer,individual,16,0.33112591745920883,0.21028754589928556,0.33112591745920883
no_constraint,chain_ptm_T_atp,titer,individual,16,0.32229589299362993,0.22344246714403135,0.32229589299362993
no_constraint,pair_iptm_L_substrate__T_atp,titer,individual,16,0.3119941977837879,0.23943581954856008,0.3119941977837879
no_constraint,ptm,titer,individual,16,0.2884474658755775,0.27861483675178017,0.2884474658755775
no_constraint,confidence_score,titer,individual,16,0.2516556972689987,0.34710363587633475,0.2516556972689987
no_constraint,chain_ptm_L_substrate,titer,individual,16,0.2516556972689987,0.34710363587633475,0.2516556972689987
no_constraint,pair_iptm_L_substrate__L_substrate,titer,individual,16,0.2516556972689987,0.34710363587633475,0.2516556972689987
no_constraint,complex_ipde,titer,individual,16,0.18543051377715697,0.4917327471086168,0.18543051377715697
no_constraint,complex_pde,titer,individual,16,0.166298794101736,0.5381937741142251,0.166298794101736
no_constraint,complex_iplddt,titer,individual,16,-0.1633554526132097,0.5455105840229945,0.1633554526132097
no_constraint,ligand_iptm,titer,individual,16,0.12803535475089411,0.6365337727096072,0.12803535475089411
no_constraint,iptm,titer,individual,16,0.1162619887967889,0.6680807907616779,0.1162619887967889
no_constraint,chain_ptm_S_substrate2,titer,individual,16,0.09860193986563108,0.7163796723063032,0.09860193986563108
no_constraint,pair_iptm_S_substrate2__S_substrate2,titer,individual,16,0.09860193986563108,0.7163796723063032,0.09860193986563108
no_constraint,mean_contacts,titer,individual,16,0.093519882179676,0.7304768759254063,0.093519882179676
no_constraint,pair_iptm_S_substrate2__T_atp,titer,individual,16,0.08977191540005218,0.7409257646943954,0.08977191540005218
no_constraint,complex_plddt,titer,individual,16,0.07652687870168383,0.7781816147180738,0.07652687870168383
no_constraint,frac_entrance,titer,individual,16,-0.07612627144817621,0.7793159703285002,0.07612627144817621
no_constraint,frac_close,titer,individual,16,-0.06444557600907407,0.8125659283052566,0.06444557600907407
no_constraint,pair_iptm_L_substrate__S_substrate2,titer,individual,16,0.06328184200331548,0.8158960436310546,0.06328184200331548
no_constraint,median_dist,titer,individual,16,-0.057395159026262875,0.8327854556156655,0.057395159026262875
no_constraint,frac_active_site,titer,individual,16,-0.04422244034905412,0.8708182661614428,0.04422244034905412
no_constraint,pair_iptm_A_protein__S_substrate2,titer,individual,16,-0.03973511009510507,0.8838392298321894,0.03973511009510507
no_constraint,mean_mg_s_dist,titer,individual,16,-0.035320097862315616,0.896677625761926,0.035320097862315616
no_constraint,mean_dist,titer,individual,16,-0.014716707442631503,0.9568602193882964,0.014716707442631503
no_constraint,composite(-entrance+complex_pde),titer (Ki-subset),composite,5,0.7999999999999999,0.10408803866182788,0.7999999999999999
no_constraint,composite(-entrance+complex_ipde),titer (Ki-subset),composite,5,0.7999999999999999,0.10408803866182788,0.7999999999999999
no_constraint,composite(-entrance+pair_iptm_A_protein__T_atp),titer (Ki-subset),composite,5,0.7999999999999999,0.10408803866182788,0.7999999999999999
no_constraint,composite(-entrance+mean_entrance_contacts),titer (Ki-subset),composite,5,0.4103913408340617,0.4925357817027974,0.4103913408340617
no_constraint,composite(-entrance+ligand_iptm),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_constraint,composite(-entrance+complex_plddt),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_constraint,composite(-entrance+complex_iplddt),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_constraint,composite(-entrance+chain_ptm_A_protein),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_constraint,composite(-entrance+pair_iptm_A_protein__L_substrate),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_constraint,composite(-entrance+median_dist),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
no_constraint,composite(-entrance+ptm),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_constraint,composite(-entrance+iptm),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_constraint,composite(-entrance+chain_ptm_L_substrate),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_constraint,composite(-entrance+pair_iptm_A_protein__S_substrate2),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_constraint,composite(-entrance+pair_iptm_L_substrate__L_substrate),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_constraint,composite(-entrance+pair_iptm_L_substrate__S_substrate2),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
no_constraint,frac_entrance,titer (Ki-subset),individual,5,-0.20519567041703085,0.7405819415910722,0.20519567041703085
no_constraint,composite(-entrance+chain_ptm_S_substrate2),titer (Ki-subset),composite,5,-0.19999999999999998,0.747060078104662,0.19999999999999998
no_constraint,composite(-entrance+pair_iptm_S_substrate2__S_substrate2),titer (Ki-subset),composite,5,-0.19999999999999998,0.747060078104662,0.19999999999999998
no_constraint,composite(-entrance+confidence_score),titer (Ki-subset),composite,5,0.09999999999999999,0.8728885715695383,0.09999999999999999
no_constraint,composite(-entrance+chain_ptm_T_atp),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_constraint,composite(-entrance+pair_iptm_L_substrate__T_atp),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_constraint,composite(-entrance+pair_iptm_S_substrate2__T_atp),titer (Ki-subset),composite,5,0.09999999999999999,0.8728885715695383,0.09999999999999999
no_constraint,composite(-entrance+mean_contacts),titer (Ki-subset),composite,5,0.09999999999999999,0.8728885715695383,0.09999999999999999
no_constraint,composite(-entrance+mean_mg_s_dist),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_constraint,composite(-entrance+mean_dist),titer (Ki-subset),composite,5,0.0,1.0,0.0
