condition,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman,target
no_cofactor,frac_active_site,18,-0.14577097016878057,0.5638370713797088,-0.16776715385514915,0.5057832711014372,0.16776715385514915,kcat
no_cofactor,chain_ptm_A_protein,18,0.1610084584424605,0.5233136162715437,0.1654605400356907,0.5117344968874851,0.1654605400356907,kcat
no_cofactor,frac_close,18,-0.13799757085057823,0.5850203646757246,-0.15835946516471278,0.530260248844048,0.15835946516471278,kcat
no_cofactor,median_dist,18,-0.22015249735957523,0.38004434222759087,-0.15408512790823692,0.541557421367025,0.15408512790823692,kcat
no_cofactor,iptm,18,0.017722299364514194,0.9443557290622409,-0.14477797253122934,0.5665243977583152,0.14477797253122934,kcat
no_cofactor,ligand_iptm,18,0.017722299364514194,0.9443557290622409,-0.14477797253122934,0.5665243977583152,0.14477797253122934,kcat
no_cofactor,mean_dist,18,0.0023772386520144392,0.9925306010692312,0.14477797253122934,0.5665243977583152,0.14477797253122934,kcat
no_cofactor,pair_iptm_L_substrate__S_substrate2,18,-0.03482320310869052,0.8908912927838926,-0.14374384415600625,0.5693289134806951,0.14374384415600625,kcat
no_cofactor,pair_iptm_A_protein__L_substrate,18,0.25046678338270706,0.316126375792372,0.1406414590303371,0.5777781273749083,0.1406414590303371,kcat
no_cofactor,chain_ptm_L_substrate,18,0.18889962680069244,0.45283584006862404,0.12616366177721416,0.6178915684168769,0.12616366177721416,kcat
no_cofactor,pair_iptm_L_substrate__L_substrate,18,0.18889962680069244,0.45283584006862404,0.12616366177721416,0.6178915684168769,0.12616366177721416,kcat
no_cofactor,ptm,18,0.1331765021445638,0.5983233512052181,0.11995889152587574,0.6354120134622971,0.11995889152587574,kcat
no_cofactor,complex_ipde,18,-0.006922643694775982,0.9782508636123626,-0.07859375651695308,0.756571330102204,0.07859375651695308,kcat
no_cofactor,complex_pde,18,-0.0558887854005202,0.8256651261355843,-0.06928660113994548,0.7847129363505727,0.06928660113994548,kcat
no_cofactor,mean_contacts,18,-0.08942970365284424,0.7241727981586169,-0.06742742217089082,0.7903662155890828,0.06742742217089082,kcat
no_cofactor,chain_ptm_S_substrate2,18,0.015648203164478527,0.9508600197835574,-0.05067229038593027,0.8417326247600709,0.05067229038593027,kcat
no_cofactor,pair_iptm_S_substrate2__S_substrate2,18,0.015648203164478527,0.9508600197835574,-0.05067229038593027,0.8417326247600709,0.05067229038593027,kcat
no_cofactor,mean_entrance_contacts,18,-0.015913008524546985,0.9500294269117718,0.04917186899718919,0.8463654439442948,0.04917186899718919,kcat
no_cofactor,pair_iptm_A_protein__S_substrate2,18,-0.038446494846765066,0.8796131969079444,-0.026887337755799733,0.9156598916815454,0.026887337755799733,kcat
no_cofactor,frac_entrance,18,0.01881878944152742,0.9409185035988405,0.022011124543298285,0.9309171857334781,0.022011124543298285,kcat
